Potion Number,Ranking,Artist,Artist Rarity,Element,Element Rarity,Finish,Finish Rarity,Color,Color Rarity,Shape,Shape Rarity,Taste,Taste Rarity,Matter,Matter Rarity,Potency,Potency Rarity,Temperature,Temperature Rarity,Superpower,Superpower Rarity
962,1,Shantell Martin,0.33%,"Yesterday, Today, Tomorrow",0.03%,Sheen,0.33%,Black & White,1.33%,Spool,10.00%,Salty,30.00%,Liquid,50.00%,Severe,9.00%,Chilled,2.00%,Honesty,3.00%
1125,1,Shantell Martin,0.33%,Face Your Fears,0.03%,Sheen,0.33%,Black & White,1.33%,Carrot,10.00%,Sweet,30.00%,Gas,2.00%,Moderate,50.00%,Toasty,22.00%,Charm,6.00%
2079,1,Shantell Martin,0.33%,Keep It Confidential,0.03%,Sheen,0.33%,Black & White,1.33%,Original,10.00%,Sour,21.00%,Condensate,10.00%,Mild,40.00%,Toasty,22.00%,Courage,3.00%
2584,1,Shantell Martin,0.33%,You Are You,0.03%,Sheen,0.33%,Black & White,1.33%,Beacon,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Courage,3.00%
1293,1,Shantell Martin,0.33%,Join The Club,0.03%,Sheen,0.33%,Black & White,1.33%,Edamame,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Gratitude,4.00%
2484,1,Shantell Martin,0.33%,Who Are You,0.03%,Sheen,0.33%,Black & White,1.33%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Love,5.00%
94,1,Shantell Martin,0.33%,Mixed Messages,0.03%,Sheen,0.33%,Black & White,1.33%,Drillbit,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Wisdom,5.00%
1702,1,Shantell Martin,0.33%,Look Up,0.03%,Sheen,0.33%,Black & White,1.33%,Wormhole,10.00%,Sweet,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Artistry,5.00%
2193,1,Shantell Martin,0.33%,Safe Passage,0.03%,Sheen,0.33%,Black & White,1.33%,Classic,10.00%,Sweet,30.00%,Condensate,10.00%,Moderate,50.00%,Toasty,22.00%,Pride,15.00%
1379,1,Shantell Martin,0.33%,Etched In Time,0.03%,Sheen,0.33%,Black & White,1.33%,Hourglass,10.00%,Sour,21.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Kindness,15.00%
1102,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Matte,0.07%,Polychromatic,2.67%,Classic,10.00%,Salty,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Loyalty,2.00%
2313,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Matte,0.07%,Polychromatic,2.67%,Wormhole,10.00%,Salty,30.00%,Solid,30.00%,Moderate,50.00%,Ambient,41.00%,Courage,3.00%
1526,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Hourglass,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Humanity,2.00%
986,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Drillbit,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Ambient,41.00%,Loyalty,2.00%
2613,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Carrot,10.00%,Sweet,30.00%,Condensate,10.00%,Mild,40.00%,Steamy,30.00%,Artistry,5.00%
1352,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Blimp,10.00%,Salty,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Wisdom,5.00%
129,1,Amber Vittoria,0.33%,A Place For stour Dreams,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Edamame,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Ambient,41.00%,Wisdom,5.00%
2283,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Original,10.00%,Salty,30.00%,Solid,30.00%,Severe,9.00%,Steamy,30.00%,Elegance,12.00%
2700,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Spool,10.00%,Sweet,30.00%,Liquid,50.00%,Mild,40.00%,Toasty,22.00%,Pride,15.00%
2979,1,Amber Vittoria,0.33%,To Hold Your Wishes,0.17%,Strathmore mixed media,0.27%,Polychromatic,2.67%,Beacon,10.00%,Salty,30.00%,Liquid,50.00%,Moderate,50.00%,Steamy,30.00%,Kindness,15.00%
1662,21,,,Galaxy,0.33%,Hubble,0.33%,Night Sky,0.33%,Blimp,10.00%,Sweet,30.00%,Solid,30.00%,Mild,40.00%,Chilled,2.00%,Love,5.00%
